dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;173;SE;SUDESTE;NORTEFLU 3;243.49
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;211;SE;SUDESTE;BAIXADA FL;302.82
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;86;SE;SUDESTE;SANTA CRUZ;307.06
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;4;SE;SUDESTE;ST.CRUZ 34;310.41
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;68;SE;SUDESTE;TRES LAGOA;319.35
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;63;SE;SUDESTE;AUR.CHAVES;346.37
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;47;SE;SUDESTE;TERMORIO;381.75
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;97;SE;SUDESTE;CUBATAO;400.43
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;62;SE;SUDESTE;SEROPEDICA;469.39
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;50;SE;SUDESTE;PIRAT.12 O;470.34
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;15;SE;SUDESTE;LUIZORMELO;472.45
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;54;SE;SUDESTE;JUIZ DE FO;522.96
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;137;SE;SUDESTE;UTE GNA I;595.06
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;110;SE;SUDESTE;FGASPARIAN;654.42
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;174;SE;SUDESTE;NORTEFLU 4;778.95
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;90;SE;SUDESTE;M.LAGO;886.91
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;194;SE;SUDESTE;TNORTE 2;910.86
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;49;SE;SUDESTE;VIANA;970.25
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;9;SE;SUDESTE;CAMPOS;978.10
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;155;SE;SUDESTE;GOIANIA 2;1933.06
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;245;SE;SUDESTE;KARKEY 013;2195.14
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;246;SE;SUDESTE;KARKEY 019;2195.14
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;182;SE;SUDESTE;PALMEIR_GO;2250.47
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;250;SE;SUDESTE;PORSUD II;2451.97
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;249;SE;SUDESTE;PORSUD I;2472.67
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;108;SE;SUDESTE;XAVANTES;2639.40
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;248;SE;SUDESTE;MPPAULINIA;3154.37
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;247;SE;SUDESTE;LORM_PCS;3306.83
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;251;SE;SUDESTE;POVOACAO I;3306.83
2023-01-07;2023-01-13;2023;1;1;PMO Janeiro 2023 - Revisão 1;253;SE;SUDESTE;VIANA I;3306.83
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;204;N;NORTE;JARAQUI;0.00
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;205;N;NORTE;MANAUARA;0.00
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;209;N;NORTE;TAMBAQUI;0.00
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;203;N;NORTE;C. ROCHA;0.00
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;207;N;NORTE;PONTA NEGR;0.00
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;212;N;NORTE;MARANHAO3;101.00
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;140;N;NORTE;UTE MAUA 3;140.68
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;201;N;NORTE;APARECIDA;140.68
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;116;N;NORTE;PARNAIB_IV;151.69
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;239;N;NORTE;PARNAIBA_V;205.21
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;46;N;NORTE;N.VENECIA2;273.69
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;36;N;NORTE;MARANHAOIV;281.96
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;21;N;NORTE;MARANHAO V;281.96
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;176;N;NORTE;P. ITAQUI;654.03
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;70;N;NORTE;GERAMAR2;970.23
2023-01-14;2023-01-20;2023;1;2;PMO Janeiro 2023 - Revisão 2;73;N;NORTE;GERAMAR1;970.23
